Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,annotation
83,3216,3216_MSA.fa.ufboot.ale.uml_rec,1.01,0.81,0.03,0.04,1.93,>opitutales_genome3|115471 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00874 GntR family transcriptional regulator (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Lacunisphaera; Lacunisphaera)
83,1689,1689_MSA.fa.ufboot.ale.uml_rec,0.52,0.78,0,0.19,1.93,>opitutales_genome3|115966 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02216 ribosome-associated translation inhibitor RaiA (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; ER46; ER46)
83,1883,1883_MSA.fa.ufboot.ale.uml_rec,0,1.09,0,0.01,1.93,>opitutales_genome3|115516 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00993 methyltransferase domain-containing protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; UBA5691; UBA5691)
83,1340,1340_MSA.fa.ufboot.ale.uml_rec,0,1.58,0,0,1.92,>opitutales_genome3|115421 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00681 Anthranilate synthase component 1 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; MWDT01; MWDT01)
83,6266,6266_MSA.fa.ufboot.ale.uml_rec,0.76,0.15,0.01,0.5,1.88,>opitutales_genome3|115779 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.01780 beta-N-acetylhexosaminidase (Bacteria; NPL-UPA2; NPL-UPA2; NPL-UPA2; JAADIA01; JAADIA01; JAADIA01)
83,704,704_MSA.fa.ufboot.ale.uml_rec,0.02,1.42,0.1,0,1.87,>opitutales_genome3|115746 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01684 NADH-quinone oxidoreductase subunit L [Respiration
83,1469,1469_MSA.fa.ufboot.ale.uml_rec,0,0.9,0,0.01,1.86,>opitutales_genome3|115958 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02202 prepilin peptidase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; DSM-45221; UBA7441; UBA7441)
83,1332,1332_MSA.fa.ufboot.ale.uml_rec,0,1.19,0.02,0.01,1.81,>opitutales_genome3|116810 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.04260 peptide chain release factor 1 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; NORP342; NORP342)
83,6946,6946_MSA.fa.ufboot.ale.uml_rec,0.8,0,0,0.8,1.8,>opitutales_genome3|116132 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02548 phosphonoacetate hydrolase (Bacteria; Latescibacterota; UBA2968; UBA8231; UBA8231; GCA-2724215; GCA-2724215)
83,2784,2784_MSA.fa.ufboot.ale.uml_rec,0.72,0.52,0.08,0.01,1.8,>opitutales_genome3|115941 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02141 hypothetical protein HY302_16300 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; JACQFT01; JACQFT01)
83,2359,2359_MSA.fa.ufboot.ale.uml_rec,0.02,0.84,0,0.15,1.8,>opitutales_genome3|116712 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03991 RluA family pseudouridine synthase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Lacunisphaera; Lacunisphaera)
83,1083,1083_MSA.fa.ufboot.ale.uml_rec,0,1.43,0.08,0.01,1.79,>opitutales_genome3|115356 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00517 DegQ family serine endoprotease (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,1559,1559_MSA.fa.ufboot.ale.uml_rec,0,1.23,0.02,0.05,1.79,>opitutales_genome3|116002 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02303 NADH-quinone oxidoreductase subunit H [Respiration
83,1865,1865_MSA.fa.ufboot.ale.uml_rec,0,1.16,0,0.04,1.79,>opitutales_genome3|116287 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02984 hypothetical protein HYV95_03755 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Didemnitutus; Didemnitutus)
83,2558,2558_MSA.fa.ufboot.ale.uml_rec,0.47,1.18,0.1,0,1.77,>opitutales_genome3|115264 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00220 SGNH/GDSL hydrolase family protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; JACTMZ01; JACTMZ01; JACTMZ01)
83,1554,1554_MSA.fa.ufboot.ale.uml_rec,0.21,0.8,0.02,0.03,1.77,>opitutales_genome3|115744 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01682 NADH-quinone oxidoreductase subunit N [Respiration
83,1592,1592_MSA.fa.ufboot.ale.uml_rec,0.01,1.72,0.01,0,1.77,>opitutales_genome3|115236 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00151 RecQ family ATP-dependent DNA helicase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; JAFAMB01; JAFAMB01; JAFAMB01)
83,2911,2911_MSA.fa.ufboot.ale.uml_rec,0,1.63,0.02,0.02,1.76,>opitutales_genome3|115277 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00288 ketohydroxyglutarate aldolase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; BJHT01; BJHT01; BJHT01)
83,1932,1932_MSA.fa.ufboot.ale.uml_rec,0.81,0.41,0.03,0.4,1.75,>opitutales_genome3|115763 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01739 MAG
83,1719,1719_MSA.fa.ufboot.ale.uml_rec,0.01,1.72,0.01,0,1.74,>opitutales_genome3|116172 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02630 magnesium transporter
83,1667,1667_MSA.fa.ufboot.ale.uml_rec,0,0.89,0.01,0,1.74,>opitutales_genome3|115205 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00090 J domain-containing protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; UBA10450; Udaeobacter; Udaeobacter)
83,223,223_MSA.fa.ufboot.ale.uml_rec,0,1.4,0.03,0.16,1.73,>opitutales_genome3|115417 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00671 PAS domain S-box protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; SIBE01; VHCZ01; VHCZ01)
83,1297,1297_MSA.fa.ufboot.ale.uml_rec,0.02,1.42,0,0,1.72,>opitutales_genome3|115184 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00056 putative Fe-S cluster assembly protein SufT (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; EW11; EW11)
83,1929,1929_MSA.fa.ufboot.ale.uml_rec,0.61,0.86,0.1,0.22,1.7,>opitutales_genome3|115760 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01727 TPA
83,1115,1115_MSA.fa.ufboot.ale.uml_rec,0.9,0.11,0.07,0.45,1.68,>opitutales_genome3|115405 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00635 hypothetical protein DRP71_10160 [Metabolism
83,1994,1994_MSA.fa.ufboot.ale.uml_rec,0.12,1.34,0.01,0.02,1.67,>opitutales_genome3|115965 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02214 protoheme IX farnesyltransferase [Metabolism
83,98,98_MSA.fa.ufboot.ale.uml_rec,0.54,0.16,0.01,0.34,1.66,>opitutales_genome3|117148 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.05073 T9SS type A sorting domain-containing protein (Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; PHOS-HE28; PHOS-HE28; PHOS-HE28)
83,1783,1783_MSA.fa.ufboot.ale.uml_rec,0.68,0.89,0.02,0,1.66,>opitutales_genome3|116522 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03526 cell division protein FtsH (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; EW11; EW11)
83,2376,2376_MSA.fa.ufboot.ale.uml_rec,0.02,0.59,0.01,0,1.66,>opitutales_genome3|115174 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00040 cytochrome c oxidase subunit I [Respiration
83,1129,1129_MSA.fa.ufboot.ale.uml_rec,0.01,1.01,0.02,0,1.66,>opitutales_genome3|115187 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00061 FAD-binding protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; UBA2377; UBA2377)
83,6296,6296_MSA.fa.ufboot.ale.uml_rec,0.62,0,0,0.73,1.65,>opitutales_genome3|116683 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03886 hypothetical protein CMO55_25880 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; DEV007; Arctic95D-9; Arctic95D-9)
83,3125,3125_MSA.fa.ufboot.ale.uml_rec,0.58,0.76,0.07,0.03,1.64,>opitutales_genome3|115265 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00225 carbon starvation protein A (Bacteria; Planctomycetota; Planctomycetia; Isosphaerales; Isosphaeraceae; Tautonia; Tautonia)
83,2634,2634_MSA.fa.ufboot.ale.uml_rec,0.02,0.31,0.07,0.01,1.64,>opitutales_genome3|116494 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03482 cytochrome oxidase assembly protein [Metabolism
83,511,511_MSA.fa.ufboot.ale.uml_rec,0,0.96,0.02,0,1.64,>opitutales_genome3|117269 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.05365 ABC transporter ATP-binding protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,2945,2945_MSA.fa.ufboot.ale.uml_rec,0.27,0.36,0.16,0.01,1.62,>opitutales_genome3|117363 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.05532 anaerobic sulfatase maturase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; B12-G4; B12-G4)
83,2717,2717_MSA.fa.ufboot.ale.uml_rec,0.19,0.66,0.02,0.03,1.62,>opitutales_genome3|117504 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.05779 CBS domain-containing protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,1740,1740_MSA.fa.ufboot.ale.uml_rec,0.01,1.3,0.01,0.01,1.6,>opitutales_genome3|115899 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02030 glutamate synthase large subunit (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,2978,2978_MSA.fa.ufboot.ale.uml_rec,0,0.85,0,0.01,1.59,>opitutales_genome3|115933 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02123 ACT domain-containing protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; ER46; ER46)
83,1404,1404_MSA.fa.ufboot.ale.uml_rec,0.19,0.84,0.01,0.11,1.56,>opitutales_genome3|115980 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02250 LysR family transcriptional regulator (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; ER46; ER46)
83,1304,1304_MSA.fa.ufboot.ale.uml_rec,0.49,0.54,0.03,0.24,1.53,>opitutales_genome3|115473 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00876 carbohydrate ABC transporter permease (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,943,943_MSA.fa.ufboot.ale.uml_rec,0,1.27,0.03,0.02,1.52,>opitutales_genome3|115733 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.01656 epimerase (Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; UBA2999; Gp6-AA45; Gp6-AA45)
83,4829,4829_MSA.fa.ufboot.ale.uml_rec,0.63,0.27,0.13,0.52,1.5,>opitutales_genome3|115517 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00995 hypothetical protein HOP33_14940 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; UBA11358; SCTL01; SCTL01)
83,1561,1561_MSA.fa.ufboot.ale.uml_rec,0.23,1.21,0,0.02,1.48,>opitutales_genome3|116681 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.03882 Glu/Leu/Phe/Val dehydrogenase (Bacteria; Calditrichota; Calditrichia; RBG-13-44-9; J042; JAADJD01; JAADJD01)
83,6304,6304_MSA.fa.ufboot.ale.uml_rec,0.43,0,0,0.74,1.46,>opitutales_genome3|115479 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00898 hypothetical protein EA426_00005
83,2541,2541_MSA.fa.ufboot.ale.uml_rec,0,0.99,0.03,0.01,1.45,>opitutales_genome3|115340 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00488 ATP phosphoribosyltransferase (Bacteria; Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; Desulfosarcina; Desulfosarcina)
83,89,89_MSA.fa.ufboot.ale.uml_rec,0,1.17,0.06,0.03,1.44,>opitutales_genome3|115564 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01132 arylsulfatase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; DSM-45221; UBA7441; UBA7441)
83,3046,3046_MSA.fa.ufboot.ale.uml_rec,0.06,0.72,0.01,0.05,1.43,>opitutales_genome3|117777 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.06402 bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; UBA11358; WYBW01; WYBW01)
83,1196,1196_MSA.fa.ufboot.ale.uml_rec,0.13,0.58,0.16,0.02,1.42,>opitutales_genome3|115752 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01698 methionine synthase (Bacteria; Spirochaetota; Leptospirae; Leptospirales; Leptospiraceae; Leptospira; Leptospira)
83,1926,1926_MSA.fa.ufboot.ale.uml_rec,0.02,1.04,0.04,0,1.4,>opitutales_genome3|115451 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00817 bile acid
83,510,510_MSA.fa.ufboot.ale.uml_rec,0,1.19,0.04,0.01,1.4,>opitutales_genome3|115969 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02230 phosphonate ABC transporter ATP-binding protein (Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Halomonadaceae; Halomonas; Halomonas)
83,1373,1373_MSA.fa.ufboot.ale.uml_rec,0.03,1.34,0.1,0,1.39,>opitutales_genome3|116880 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.04392 cysteine synthase A (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; UBA2995; UBA2995; UBA2995)
83,1676,1676_MSA.fa.ufboot.ale.uml_rec,0,1.12,0.06,0.08,1.39,>opitutales_genome3|115278 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00289 sugar kinase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Palsa-1439; Palsa-1439; CAIKAP01; CAIKAP01)
83,3478,3478_MSA.fa.ufboot.ale.uml_rec,0.15,0.64,0.05,0.01,1.38,>opitutales_genome3|116587 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03694 DUF4962 domain-containing protein
83,5777,5777_MSA.fa.ufboot.ale.uml_rec,0.12,0,0.03,0,1.37,>opitutales_genome3|115314 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00441 arginine N-succinyltransferase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Didemnitutus; Didemnitutus)
83,1194,1194_MSA.fa.ufboot.ale.uml_rec,0,0.55,0,0,1.37,>opitutales_genome3|116545 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03571 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Verruco-01; WOUP01; WOUP01)
83,1314,1314_MSA.fa.ufboot.ale.uml_rec,0,0.69,0,0.04,1.36,>opitutales_genome3|117543 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.05924 50S ribosomal protein L11 methyltransferase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; JACQFT01; JACQFT01)
83,4357,4357_MSA.fa.ufboot.ale.uml_rec,0,0.66,0,0.1,1.36,>opitutales_genome3|115195 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00072 rhomboid family intramembrane serine protease (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,2632,2632_MSA.fa.ufboot.ale.uml_rec,0.09,0.28,0.01,0.04,1.35,>opitutales_genome3|115176 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00042 cytochrome c oxidase subunit II [Respiration
83,1106,1106_MSA.fa.ufboot.ale.uml_rec,0,0.56,0.01,0.02,1.34,>opitutales_genome3|117235 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.05281 urea carboxylase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; UBA6669; UBA6669)
83,3091,3091_MSA.fa.ufboot.ale.uml_rec,0.07,0.83,0.09,0,1.33,>opitutales_genome3|116093 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02465 sugar phosphate isomerase/epimerase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; KCTC-12870; Ruficoccus; Ruficoccus)
83,2048,2048_MSA.fa.ufboot.ale.uml_rec,0.31,0.44,0.03,0.06,1.31,>opitutales_genome3|117779 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.06411 Na(+)/H(+) antiporter subunit D (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Pelagicoccus; Pelagicoccus)
83,578,578_MSA.fa.ufboot.ale.uml_rec,0.26,0.24,0.03,0.29,1.31,>opitutales_genome3|116817 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.04279 TPA
83,2453,2453_MSA.fa.ufboot.ale.uml_rec,0,0.96,0.01,0.07,1.31,>opitutales_genome3|115904 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02051 hypothetical protein EA353_08945 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; DSM-45221; UBA7441; UBA7441)
