GeneFamily,OddsRatio_Fisher,PValue_Fisher,OddsRatio_Poisson,PValue_Poisson,cluster_id,type,annotation,length,selective pressure (low = purifying),codon bias,representation,count,% id
pmsf_10055_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,10055,CDS,MAG: hypothetical protein JJU00_01480,186,1.0,8.0,4,4,86.3
pmsf_10057_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.807433976068554,0.0008520559054678336,10057,CDS,hypothetical protein B9S34_11705,558,2.0,4.0,7,7,75.3
pmsf_10061_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.13625333244156,0.0023735208990185203,10061,CDS,DUF4242 domain-containing protein,92,0.0,0.0,6,6,94.4
pmsf_10090_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.562492115221286,0.0033535482872273747,10090,CDS,ABC transporter permease subunit,253,0.0,7.0,8,8,86.7
pmsf_10092_MSA_trimmed.ufboot.ale.uml_rec,4.444444444444445,0.0066743294830548154,2.9219292449780006,0.011772425380389305,10092,CDS,"protoheme IX farnesyltransferase [Metabolism, Heme|Polyprenyltransferase (heme O synthase) CyoE/CtaB|0.8]",307,8.0,3.0,11,11,69.5
pmsf_10096_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,3.9542412656549084,0.006644025053140207,10096,CDS,"MAG: PmoA family protein [Carbon Cycle, Methane Oxidation|Methane/ammonia monooxygenase subunit PmoA/AmoA|0.6] [Nitrogen Cycle, Nitrification|Methane/ammonia monooxygenase subunit PmoA/AmoA|0.6]",324,4.0,7.0,6,6,74.3
pmsf_10102_MSA_trimmed.ufboot.ale.uml_rec,7.760869565217392,0.038857772679218125,2.0114444453759273,0.03475815814720989,10102,CDS,TPA: hypothetical protein ENI20_01405,369,,6.0,3,6,93.2
pmsf_10104_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.7940297232410227,0.0008416115878576611,10104,CDS,outer membrane beta-barrel protein,382,0.0,1.0,7,7,81.4
pmsf_10110_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,1.8736604952362472,0.00315621017650619,10110,CDS,TIGR04283 family arsenosugar biosynthesis glycosyltransferase,246,2.0,2.0,7,9,66.4
pmsf_10111_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.8016005782975664,0.000820211740706611,10111,CDS,hypothetical protein DRP71_13145,478,1.0,7.0,7,7,81.7
pmsf_1013_MSA_trimmed.ufboot.ale.uml_rec,2.7916666666666665,0.030142818589414415,2.34589136823139,0.044808448892954614,1013,CDS,TPA: aspartate 1-decarboxylase,129,5.0,5.0,35,35,60.0
pmsf_10161_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.5668069880703697,0.003251483468924776,10161,CDS,MAG: cytochrome c biogenesis protein ResB,533,1.0,5.0,8,8,52.5
pmsf_10163_MSA_trimmed.ufboot.ale.uml_rec,3.3968253968253967,0.028598157809286595,2.55894658615843,0.030177655525935602,10163,CDS,hypothetical protein,156,3.0,6.0,11,11,56.8
pmsf_10170_MSA_trimmed.ufboot.ale.uml_rec,4.398190045248869,0.0046554399846425185,3.000725770081664,0.007640459730145512,10170,CDS,MAG: SLC13/DASS family transporter,533,2.0,7.0,12,12,50.4
pmsf_10189_MSA_trimmed.ufboot.ale.uml_rec,3.1505102040816326,0.016932200923765784,2.363308944353569,0.04904400700496492,10189,CDS,phosphoribosylglycinamide formyltransferase,197,4.0,4.0,39,39,59.8
pmsf_10246_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.5586787476528667,0.003339958448949657,10246,CDS,hydrogenase iron-sulfur subunit,722,3.0,2.0,8,8,71.9
pmsf_10249_MSA_trimmed.ufboot.ale.uml_rec,4.037037037037037,0.009777855145884145,3.0615894098630747,0.009049632255954555,10249,CDS,SDR family oxidoreductase,494,4.0,2.0,12,12,73.2
pmsf_10250_MSA_trimmed.ufboot.ale.uml_rec,4.8088235294117645,0.0031187154362700303,3.1097572252974968,0.005578605816554036,10250,CDS,MAG: NADH-quinone oxidoreductase subunit K,103,2.0,7.0,12,12,71.6
pmsf_10269_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,10269,CDS,"MAG: gfo/Idh/MocA family oxidoreductase [Metabolism, Inositol Phosphate Biosynthesis|Inositol 2-dehydrogenase IolG|0.3]",450,4.0,2.0,4,4,62.7
pmsf_10270_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.8007999525474565,0.0008504659535768665,10270,CDS,DUF3450 family protein,257,8.0,5.0,7,7,52.4
pmsf_10271_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,10271,CDS,exo-alpha-sialidase,418,8.0,3.0,4,4,52.8
pmsf_10300_MSA_trimmed.ufboot.ale.uml_rec,3.7411764705882353,0.015419814429776288,2.8538214705905625,0.01149716673401835,10300,CDS,monovalent cation/H(+) antiporter subunit G,106,3.0,1.0,13,13,53.2
pmsf_10384_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.1505972427571605,0.002385170220135774,10384,CDS,DUF1365 domain-containing protein,290,3.0,6.0,6,6,76.7
pmsf_10386_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.152020171348486,0.0024065860019322834,10386,CDS,(Butirosin acyl-carrier protein)--L-glutamate ligase,456,1.0,6.0,6,6,82.2
pmsf_10415_MSA_trimmed.ufboot.ale.uml_rec,2.7,0.03198201107481379,2.1212456095333567,0.02136663571281513,10415,CDS,"cbb3-type cytochrome c oxidase subunit I [Respiration, Complex IV, Heme/Copper Oxidase Oxygen Reductases|Heme/copper oxidase complex subunit I, CcoN/CyoB/CoxB]",491,5.0,3.0,33,36,62.3
pmsf_10431_MSA_trimmed.ufboot.ale.uml_rec,7.238095238095238,0.0009463045131298936,3.9105316336693945,0.0016614373318568072,10431,CDS,"NADH-quinone oxidoreductase subunit NuoH [Respiration, Complex I|NADH:ubiquinone oxidoreductase subunit 1, NuoH]",320,0.0,1.0,9,9,62.8
pmsf_10448_MSA_trimmed.ufboot.ale.uml_rec,3.15625,0.016981919214154678,2.473175791664122,0.02746747224429014,10448,CDS,NAD(P)/FAD-dependent oxidoreductase,417,5.0,4.0,19,19,51.0
pmsf_10453_MSA_trimmed.ufboot.ale.uml_rec,3.4263565891472867,0.00762057166967531,2.7441304648611267,0.01661534037449961,10453,CDS,"N-acetyl-gamma-glutamyl-phosphate reductase [Metabolism, Aminoacid Biosynthesis|(arg) N-acetyl-gamma-glutamylphosphate reductase ArgC] [Metabolism, Aminoacid Biosynthesis|(lys) N-acetyl-gamma-glutamylphosphate reductase ArgC/LysY]",344,3.0,3.0,26,26,50.0
pmsf_10465_MSA_trimmed.ufboot.ale.uml_rec,3.474264705882353,0.01773757094660597,2.575756942946822,0.023690719506151862,10465,CDS,hypothetical protein DF168_01220,303,7.0,6.0,13,13,51.3
pmsf_10488_MSA_trimmed.ufboot.ale.uml_rec,4.563492063492063,0.02576088397706164,3.116558706580435,0.043915048869514334,10488,CDS,MAG: ABC transporter permease,286,8.0,0.0,5,5,50.7
pmsf_10498_MSA_trimmed.ufboot.ale.uml_rec,2.718954248366013,0.0483503657334328,1.9937931770950703,0.04713823152215566,10498,CDS,3-deoxy-D-manno-octulosonic acid transferase,438,7.0,3.0,13,13,53.9
pmsf_10522_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.3603673014285422,0.001661931233250108,10522,CDS,,42,,,7,7,75.8
pmsf_1052_MSA_trimmed.ufboot.ale.uml_rec,3.7411764705882353,0.015419814429776288,2.7163261920146407,0.01604776424999453,1052,CDS,ABC transporter ATP-binding protein,321,6.0,6.0,13,13,51.0
pmsf_10574_MSA_trimmed.ufboot.ale.uml_rec,4.262820512820513,0.0014703991827355216,2.8906826517595383,0.0030693235454245836,10574,CDS,phosphoribosylamine--glycine ligase,435,4.0,3.0,16,16,52.1
pmsf_10752_MSA_trimmed.ufboot.ale.uml_rec,10.818181818181818,0.009235859179640907,4.2843604321393745,0.007670872440646526,10752,CDS,AAA family ATPase,263,,5.0,4,4,51.2
pmsf_10753_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.564690633086742,0.0033375382657016275,10753,CDS,M48 family metallopeptidase,666,0.0,1.0,8,8,76.8
pmsf_10756_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.4117087665988803,0.001459522238990839,10756,CDS,aldo/keto reductase,292,0.0,7.0,7,7,87.0
pmsf_10760_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,3.9419379274869644,0.006727622385401291,10760,CDS,DoxX family protein,151,3.0,5.0,6,6,76.2
pmsf_10768_MSA_trimmed.ufboot.ale.uml_rec,4.2375,0.01916858785873121,2.185010496481938,0.026106837645369595,10768,CDS,PqqD family peptide modification chaperone,99,3.0,0.0,6,6,78.3
pmsf_10769_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,10769,CDS,hypothetical protein A2X48_05635,362,1.0,0.0,4,4,92.5
pmsf_1076_MSA_trimmed.ufboot.ale.uml_rec,7.760869565217392,0.038857772679218125,1.3873241286449771,0.03290247889758471,1076,CDS,extracellular solute-binding protein,437,,3.0,3,12,62.8
pmsf_10770_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.5793123546985544,0.013926341842128213,10770,CDS,MAG: VOC family protein,142,0.0,5.0,6,6,87.5
pmsf_10771_MSA_trimmed.ufboot.ale.uml_rec,6.96,0.004382746876322516,3.595152390789783,0.007745800008920317,10771,CDS,sigma-70 family RNA polymerase sigma factor,199,3.0,0.0,7,7,75.3
pmsf_10773_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.5651828282478544,0.003344266146150921,10773,CDS,MAG: SDR family oxidoreductase,247,1.0,4.0,8,8,76.5
pmsf_10774_MSA_trimmed.ufboot.ale.uml_rec,3.823529411764706,0.009255803424544122,2.1480418528409913,0.00855808710934048,10774,CDS,MAG: DUF445 family protein,205,5.0,6.0,10,10,74.8
pmsf_10780_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.10999999997597,0.0023932436151292546,10780,CDS,MAG: GHMP kinase,422,3.0,3.0,6,6,74.8
pmsf_10784_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.6263415812176776,0.013158629736583377,10784,CDS,CPBP family intramembrane metalloprotease,279,2.0,0.0,6,6,77.6
pmsf_10786_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,10786,CDS,helix-turn-helix transcriptional regulator,271,3.0,0.0,4,4,87.8
pmsf_10787_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.140281014993812,0.004360673680646482,10787,CDS,exo-alpha-sialidase,462,1.0,7.0,5,5,92.7
pmsf_10788_MSA_trimmed.ufboot.ale.uml_rec,7.760869565217392,0.038857772679218125,2.0450661934791983,0.03199140613875192,10788,CDS,hypothetical protein,117,,8.0,3,6,73.2
pmsf_1078_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.4049502472017155,0.0013607707058710958,1078,CDS,zinc ABC transporter substrate-binding protein,319,2.0,2.0,7,7,78.7
pmsf_10790_MSA_trimmed.ufboot.ale.uml_rec,3.6923076923076925,0.013875787274877451,2.7336710771504937,0.02450490704466352,10790,CDS,Hsp70 family protein,616,4.0,1.0,11,11,76.6
pmsf_10791_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.109999999975965,0.002393243615129268,10791,CDS,,475,2.0,0.0,5,5,72.5
pmsf_10796_MSA_trimmed.ufboot.ale.uml_rec,4.046218487394958,0.006741872857175679,2.1319167887684194,0.009398201664004286,10796,CDS,GldG family protein,490,5.0,4.0,11,11,68.6
pmsf_10799_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.112140968554152,0.002413848011602623,10799,CDS,TPA: hypothetical protein ENJ04_05195,1155,2.0,2.0,6,6,78.9
pmsf_10801_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.4089884482214523,0.0013553059129673532,10801,CDS,DUF4339 domain-containing protein,249,1.0,0.0,7,7,79.6
pmsf_10803_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,3.6288736185686643,0.002570937993280036,10803,CDS,"NADH-quinone oxidoreductase subunit NuoE [Respiration, Complex I|NADH:ubiquinone oxidoreductase 24 kD subunit, NuoE|0.7] [Carbon Cycle, Formate Oxidation|Formate dehydrogenase subunit gamma FdoI/FdsG|0.3]",154,2.0,,10,10,79.9
pmsf_10805_MSA_trimmed.ufboot.ale.uml_rec,6.588235294117647,0.0007486944505263637,2.779068994647236,0.001684164638256713,10805,CDS,SLC13 family permease,603,1.0,5.0,10,10,59.3
pmsf_1080_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.6125444802515436,0.01366517973955482,1080,CDS,,34,1.0,,6,6,73.5
pmsf_10933_MSA_trimmed.ufboot.ale.uml_rec,0.33497536945812806,0.019586429888072954,0.40447380831252266,0.026404111309974585,10933,CDS,GDP-fucose synthetase,313,2.0,3.0,48,48,57.9
pmsf_10955_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,4.581196581172712,0.0003412682080905345,10955,CDS,hypothetical protein GC201_12950,328,3.0,1.0,7,7,78.8
pmsf_10957_MSA_trimmed.ufboot.ale.uml_rec,5.523809523809524,0.016043548931271127,3.261904761892156,0.017503023703619645,10957,CDS,PEP-CTERM sorting domain-containing protein,588,2.0,2.0,4,4,80.4
pmsf_10958_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,4.66515652752354,0.00036645657689661336,10958,CDS,hypothetical protein B9S34_09165,400,2.0,0.0,7,7,78.4
pmsf_10959_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.8111980588203855,0.0008375303298812884,10959,CDS,"hypothetical protein DME60_03890, partial",276,4.0,5.0,7,7,73.2
pmsf_1095_MSA_trimmed.ufboot.ale.uml_rec,3.033333333333333,0.01641573137056563,1.6983850850983249,0.008011931436645123,1095,CDS,"AAA family ATPase [Metabolism, Cobalamin (Vitamin B12)|Cobyrinic acid a,c-diamide synthase CbiA/CobB|0.2]",303,2.0,4.0,24,33,64.6
pmsf_10962_MSA_trimmed.ufboot.ale.uml_rec,4.398190045248869,0.0046554399846425185,2.981227867520738,0.007667764408603207,10962,CDS,DUF4040 domain-containing protein,84,1.0,,12,12,80.5
pmsf_10991_MSA_trimmed.ufboot.ale.uml_rec,6.96,0.004382746876322516,3.5453973771471654,0.008172584914312529,10991,CDS,metal ABC transporter permease,303,1.0,6.0,7,7,51.1
pmsf_10995_MSA_trimmed.ufboot.ale.uml_rec,4.584795321637427,0.00929327067820526,3.096936917787565,0.011219818182462146,10995,CDS,MAG: hypothetical protein JJU20_11120,303,8.0,7.0,9,9,51.8
pmsf_11007_MSA_trimmed.ufboot.ale.uml_rec,4.563492063492063,0.02576088397706164,2.9437229437187757,0.0300287766681791,11007,CDS,phosphoesterase,299,8.0,4.0,5,5,58.2
pmsf_11010_MSA_trimmed.ufboot.ale.uml_rec,2.9166666666666665,0.03980509210568291,1.9038885901522271,0.03635088931561621,11010,CDS,ribosome silencing factor,137,,7.0,12,12,57.7
pmsf_11055_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.7883429215154227,0.0008637294840009097,11055,CDS,hydrogenase maturation protease,174,,7.0,7,7,51.0
pmsf_11072_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,4.581196581172712,0.0003412682080905345,11072,CDS,hypothetical protein DB346_12120,924,4.0,4.0,7,7,59.5
pmsf_11073_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,11073,CDS,MAG: phosphohistidine phosphatase SixA,164,7.0,2.0,4,4,54.0
pmsf_11074_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.3326923485926145,0.0018029299467405616,11074,CDS,DNA polymerase III subunit beta,132,8.0,,7,7,47.8
pmsf_11091_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,11091,CDS,hypothetical protein HUU08_05000,299,1.0,6.0,4,4,92.0
pmsf_11092_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,11092,CDS,AMP-binding protein,228,7.0,7.0,4,4,85.2
pmsf_11096_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,11096,CDS,hypothetical protein,846,,0.0,4,4,95.6
pmsf_11111_MSA_trimmed.ufboot.ale.uml_rec,5.294117647058823,0.0020190409888108177,3.40814303924392,0.0030145226591489333,11111,CDS,"MAG: multidrug efflux RND transporter permease subunit, partial",1040,0.0,4.0,11,11,73.7
pmsf_11112_MSA_trimmed.ufboot.ale.uml_rec,4.089473684210526,0.013857064877581815,2.8173374613075675,0.019145870365197205,11112,CDS,MAG: tetratricopeptide repeat protein,471,7.0,3.0,7,7,51.9
pmsf_11119_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.412363163814917,0.0013391212561230945,11119,CDS,galactokinase,392,2.0,3.0,7,7,60.7
pmsf_11120_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,11120,CDS,"Gfo/Idh/MocA family oxidoreductase [Metabolism, Inositol Phosphate Biosynthesis|Inositol 2-dehydrogenase IolG|0.2]",360,1.0,0.0,4,4,73.2
pmsf_11121_MSA_trimmed.ufboot.ale.uml_rec,4.444444444444445,0.0066743294830548154,2.3438611769565143,0.010164337821825032,11121,CDS,radical SAM protein,448,4.0,2.0,9,9,57.1
pmsf_11126_MSA_trimmed.ufboot.ale.uml_rec,5.523809523809524,0.016043548931271127,3.292456388556275,0.017508292461583388,11126,CDS,MAG: M48 family metallopeptidase,238,2.0,8.0,4,4,66.3
pmsf_11128_MSA_trimmed.ufboot.ale.uml_rec,6.96,0.004382746876322516,3.709090909072616,0.004862189344055219,11128,CDS,VWA domain-containing protein,680,1.0,4.0,6,6,80.7
pmsf_11131_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,11131,CDS,response regulator,646,8.0,4.0,4,4,83.5
pmsf_11132_MSA_trimmed.ufboot.ale.uml_rec,4.037037037037037,0.009777855145884145,2.796563323865326,0.01492985883978935,11132,CDS,"glutamyl-tRNA reductase [Metabolism, Porphyrins|Glutamyl-tRNA reductase HemA]",355,8.0,6.0,10,10,69.1
pmsf_11178_MSA_trimmed.ufboot.ale.uml_rec,3.652173913043478,0.005349674112202913,2.7683805460084283,0.012146080828946287,11178,CDS,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,276,6.0,5.0,19,19,55.5
pmsf_11233_MSA_trimmed.ufboot.ale.uml_rec,3.492063492063492,0.008578185289227467,2.2598850333181564,0.02319994564722648,11233,CDS,histidinol phosphate phosphatase,278,7.0,3.0,19,20,65.3
pmsf_11278_MSA_trimmed.ufboot.ale.uml_rec,6.092307692307692,0.0003864786753752952,3.663128767747758,0.0011324150932659042,11278,CDS,"ACP S-malonyltransferase [Metabolism, Fatty Acids|Malonyl CoA-acyl carrier protein transacylase FabD]",279,4.0,3.0,14,14,55.7
pmsf_11317_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.10999999997597,0.0023932436151292546,11317,CDS,MAG: VCBS repeat-containing protein,744,1.0,1.0,6,6,81.5
pmsf_11320_MSA_trimmed.ufboot.ale.uml_rec,6.96,0.004382746876322516,2.5712198219606126,0.005859097574745876,11320,CDS,"beta-ketoacyl- [Metabolism, Fatty Acids|Beta-ketoacyl-acyl-carrier-protein synthase II FabF]",416,5.0,2.0,6,7,67.4
pmsf_11331_MSA_trimmed.ufboot.ale.uml_rec,4.398190045248869,0.0046554399846425185,3.0042733821833147,0.0075959345002704634,11331,CDS,MAG: nucleotide exchange factor GrpE,223,,2.0,12,12,56.8
pmsf_11332_MSA_trimmed.ufboot.ale.uml_rec,4.444444444444445,0.0066743294830548154,3.00275149365048,0.00976556657684236,11332,CDS,sugar phosphate isomerase/epimerase,255,7.0,8.0,11,11,54.3
pmsf_11377_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.115790388886987,0.002456285274310385,11377,CDS,right-handed parallel beta-helix repeat-containing protein,445,0.0,0.0,6,6,84.7
pmsf_11379_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.114070561165256,0.002434858136173094,11379,CDS,ShlB/FhaC/HecB family hemolysin secretion/activation protein,587,1.0,1.0,6,6,77.7
pmsf_11381_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.411736880812954,0.0013780307042168657,11381,CDS,cytidylate kinase,237,1.0,8.0,7,7,76.6
pmsf_11382_MSA_trimmed.ufboot.ale.uml_rec,7.760869565217392,0.038857772679218125,2.62832190000587,0.02156272461500001,11382,CDS,"DNA methylase, partial",94,,,3,4,93.3
pmsf_11383_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.6036161074720447,0.014015472079976561,11383,CDS,,85,,,6,6,71.6
pmsf_11389_MSA_trimmed.ufboot.ale.uml_rec,8.518518518518519,0.0005009080366104603,4.2802801433664905,0.0007015772667618485,11389,CDS,"sugar phosphate isomerase [Cell Envelope, Peptidoglycan|N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase MurQ|0.3]",616,4.0,6.0,8,8,73.0
pmsf_11390_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.100867385508872,0.002444986816197499,11390,CDS,hypothetical protein EA353_05205,616,0.0,1.0,6,6,83.7
pmsf_11410_MSA_trimmed.ufboot.ale.uml_rec,7.238095238095238,0.0009463045131298936,3.9453015031487153,0.001374334743269036,11410,CDS,superoxide dismutase,261,1.0,0.0,9,9,50.4
pmsf_11447_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877896,0.004323801402283203,11447,CDS,dethiobiotin synthase,245,7.0,2.0,5,5,64.0
pmsf_11448_MSA_trimmed.ufboot.ale.uml_rec,13.0,0.00010603537214321407,2.8840258070969425,0.0005165819800161234,11448,CDS,RNA pseudouridine synthase,267,3.0,7.0,6,6,67.8
pmsf_11527_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.800489257583731,0.0008435684549502512,11527,CDS,TraB/GumN family protein,290,2.0,2.0,7,7,74.3
pmsf_11530_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,11530,CDS,MAG: hypothetical protein JSV19_03635,799,8.0,4.0,4,4,84.1
pmsf_11540_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.6507936507732013,0.009259717489169506,11540,CDS,,248,7.0,0.0,4,4,90.8
pmsf_11542_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.395346963327167,0.0006885377444056221,11542,CDS,zinc ABC transporter substrate-binding protein,317,2.0,3.0,7,8,49.8
pmsf_11543_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,11543,CDS,hypothetical protein AW736_20135,204,5.0,8.0,4,4,52.0
pmsf_11544_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.554553021095949,0.0033806257210207786,11544,CDS,hypothetical protein HY787_18040,168,4.0,8.0,8,8,58.3
pmsf_11545_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.3730380500568207,0.0015737069670405624,11545,CDS,DNA polymerase III subunit gamma/tau,320,3.0,2.0,7,7,58.2
pmsf_11552_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.6085482928445387,0.013836409024030055,11552,CDS,TPA: MBL fold metallo-hydrolase,302,1.0,3.0,6,6,79.8
